id,category,subcategory,jurusan,priority,source,chunk_type,content_preview,tags
dc04e3b0-a6c3-4033-a5c1-3fef409e1eb4,school,profile,General,high,both,factual,SMK Negeri 6 Surakarta adalah SMK Pusat Keunggulan (SMK PK) sejak tahun 2022. Sekolah ini memiliki 1.623 siswa yang tersebar dalam 4 bidang keahlian dan 7 program studi. Target lulusan: 80% terserap i...,"smkn6, pusat_keunggulan, demografi, pip, target_lulusan"
ae92346d-f968-4444-9e40-2a043e06139b,school,vision_mission,General,high,both,factual,"Visi SMKN 6 Surakarta: Menjadi SMK yang menghasilkan lulusan berdaya saing global, berkarakter, dan berjiwa entrepreneurship berbasis teknologi informasi dan komunikasi. Misi: menyelenggarakan pendidi...","visi, misi, karakter, entrepreneurship, teknologi"
c6ac8a6b-b9ec-4873-9988-419ec38c9626,school,teaching_factory,General,high,both,factual,"Teaching Factory (Tefa) adalah pilar identitas terkuat SMKN 6 Surakarta. Program PPLG memiliki peta jalan 5 tahun: Tahun 1 perluasan kolaborasi industri dan aplikasi edukasi Android, Tahun 2 layanan s...","tefa, pplg, roadmap, lsp, bnsp, industri"
1ad87436-7d83-4b10-a4ef-be3947a77520,school,culture,General,high,both,factual,Kultur komunikasi SMKN 6 Surakarta: Sekolah menerapkan konsep 'Sekolah Sehat' melalui rutinitas Jumat Sehat. Kolaborasi industri meliputi Toploker.com untuk lokakarya konten kreatif dan pemasaran digi...,"sekolah_sehat, jumat_sehat, kolaborasi, toploker, pegadaian, pedagogi"
8d6f58a1-45db-4028-b2ca-0e027b1d5979,school,identity,General,high,both,factual,"Karakter unik SMKN 6 Surakarta: Positioning sebagai Center of Excellence dengan fokus digitalisasi pendidikan vokasional, entrepreneurship berbasis teknologi, Teaching Factory sebagai jembatan pendidi...","center_of_excellence, digitalisasi, local_global, soft_skills, hard_skills"
644896dc-1b3a-4756-be97-ebaaf6ab9fa9,majors,curriculum,RPL,high,both,factual,"PPLG (Pengembangan Perangkat Lunak dan Gim) adalah program unggulan SMKN 6 Surakarta. Jurusan ini mempersiapkan siswa menjadi programmer, developer, dan software engineer. Mata pelajaran: Algoritma, P...","pplg, rpl, programming, kurikulum, software"
738a2512-b5ce-4004-9a8f-10e0b1d1b891,majors,tools,RPL,high,both,factual,"Tools industri wajib PPLG/RPL 2026: Code Editor (VS Code, JetBrains, Cursor AI), Version Control (Git, GitHub, GitLab), Frontend (HTML, CSS, JavaScript, React, Vue, Angular, Tailwind CSS), Backend (No...","vscode, github, react, node, flutter, docker, copilot, cursor"
128ac4d6-3f5d-4ffe-aead-fa4fab0a6e94,majors,ai_impact,RPL,high,both,trend,"AI Impact pada PPLG/RPL: AI coding assistant (GitHub Copilot, Cursor) dapat menulis kode dan debug, tetapi menghasilkan kode yang 'works' tapi tidak selalu 'optimal' atau 'secure'. Human oversight tet...","ai, copilot, coding, future_proof, system_design"
bfe5ce06-9698-447a-a90d-54ceafe4a5a1,majors,trends,RPL,high,both,trend,"Tren industri RPL 2025-2026: AI-Native Development, Low-Code/No-Code (Bubble, Webflow), Full-Stack JavaScript dominance, Cloud-Native Development, Microservices Architecture, Serverless Computing (AWS...","tren, 2026, cloud_native, microservices, serverless, webassembly"
05d43888-cc06-4604-9bd0-0250874c7ac6,majors,career,RPL,high,both,actionable,"Peluang karier PPLG/RPL: Entry-level (Junior Web Developer Rp 5-8 juta, Junior Mobile Developer Rp 5-8 juta, Frontend/Backend Developer Rp 6-9 juta). Menengah (Senior Developer Rp 10-18 juta, Tech Lea...","gaji, karier, freelance, remote, entry_level"
